This file contains extra interventions manually classified by Dr. Cummings,,,,,,,,,,,,
Drug,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,,,class
,BEHAVIORS,,,,,,,,,,,
Music,,,,,,,,,,,,behav
Physical exercise,,,,,,,,,,,,behav
Exercise,,,,,,,,,,,,behav
Strategy training,,,,,,,,,,,,behav
Memory training,,,,,,,,,,,,behav
Cognitive training,,,,,,,,,,,,behav
Balance training,,,,,,,,,,,,behav
Cognitive assessment,,,,,,,,,,,,behav
Neurological assessment,,,,,,,,,,,,behav
Cognitive testing,,,,,,,,,,,,behav
Occupational therapy,,,,,,,,,,,,behav
Physical training,,,,,,,,,,,,behav
Speech therapy,,,,,,,,,,,,behav
Goal management training,,,,,,,,,,,,behav
Psychoeducational,,,,,,,,,,,,behav
Yoga,,,,,,,,,,,,behav
Walking,,,,,,,,,,,,behav
Mindfulness,,,,,,,,,,,,behav
Physiotherapy,,,,,,,,,,,,behav
Rehabilitation,,,,,,,,,,,,behav
Physical activity,,,,,,,,,,,,behav
Resistance training,,,,,,,,,,,,behav
Questionnaire,,,,,,,,,,,,behav
Interactive stepping exercise,,,,,,,,,,,,behav
Health education,,,,,,,,,,,,behav
Dual task performance,,,,,,,,,,,,behav
Aerobic exercise,,,,,,,,,,,,behav
Stretch exercise,,,,,,,,,,,,behav
Structure exercise,,,,,,,,,,,,behav
Clinical interview,,,,,,,,,,,,behav
Montreal cognitive assessment,,,,,,,,,,,,behav
MoCA,,,,,,,,,,,,behav
Neuropsychological,,,,,,,,,,,,behav
Computer based,,,,,,,,,,,,behav
Abdominal,,,,,,,,,,,,behav
Meditation,,,,,,,,,,,,behav
Mediterranean,,,,,,,,,,,,behav
Treadmill,,,,,,,,,,,,behav
Motivational,,,,,,,,,,,,behav
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,TO EXCLUDE (DELETE),,,,,,,,,,,
No intervention,,,,,,,,,,,,delete
Observational,,,,,,,,,,,,delete
Observation,,,,,,,,,,,,delete
Blood,,,,,,,,,,,,delete
Blood sample,,,,,,,,,,,,delete
Skin biopsy,,,,,,,,,,,,delete
Biopsy,,,,,,,,,,,,delete
Acupuncture,,,,,,,,,,,,delete
Enhanced usual care,,,,,,,,,,,,delete
MRI,,,,,,,,,,,,delete
Brain MRI,,,,,,,,,,,,delete
C-11,,,,,,,,,,,,delete
Magnetic resonance imaging,,,,,,,,,,,,delete
Florbetapir,,,,,,,,,,,,delete
AV-1451,,,,,,,,,,,,delete
AV-45,,,,,,,,,,,,delete
Fluoro-tau,,,,,,,,,,,,delete
FDG,,,,,,,,,,,,delete
Amyvid,,,,,,,,,,,,delete
Tauvid,,,,,,,,,,,,delete
PET,,,,,,,,,,,,delete
Lumbar puncture,,,,,,,,,,,,delete
Optical coherence tomography,,,,,,,,,,,,delete
OCT,,,,,,,,,,,,delete
Exergame ,,,,,,,,,,,,delete
Virtual reality,,,,,,,,,,,,delete
EEG,,,,,,,,,,,,delete
Electroencephalography,,,,,,,,,,,,delete
Peripheral nerve stimulation,,,,,,,,,,,,delete
EMG,,,,,,,,,,,,delete
Infinitome,,,,,,,,,,,,delete
Neurofeedback,,,,,,,,,,,,delete
Actigraphy,,,,,,,,,,,,delete
Positron,,,,,,,,,,,,delete
Emission,,,,,,,,,,,,delete
Tomography,,,,,,,,,,,,delete
Light,,,,,,,,,,,,delete
Dancing,,,,,,,,,,,,delete
Dance,,,,,,,,,,,,delete
Gait training,,,,,,,,,,,,delete
Education,,,,,,,,,,,,delete
CPAP,,,,,,,,,,,,delete
Continuous positive airway pressure,,,,,,,,,,,,delete
Olive oil,,,,,,,,,,,,delete
Polysomnography,,,,,,,,,,,,delete
Hypnosis,,,,,,,,,,,,delete
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,DEVICES,,,,,,,,,,,
Deep brain,,,,,,,,,,,,device
Stimulation,,,,,,,,,,,,device
TMS,,,,,,,,,,,,device
rTMS,,,,,,,,,,,,device
tDCS,,,,,,,,,,,,device
Anodal tCDS,,,,,,,,,,,,device
Transcranial ,,,,,,,,,,,,device
Sham,,,,,,,,,,,,device
Repetitive,,,,,,,,,,,,device
Non-invasive,,,,,,,,,,,,device
DBS,,,,,,,,,,,,device
MRgFUS,,,,,,,,,,,,device
Neurostar,,,,,,,,,,,,device
Ultrasound,,,,,,,,,,,,device
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,OTHER CATEGORIES (MIX),,,,,,,,,,,
Inactive drug,,,,,,,,,,,,delete
Usual care,,,,,,,,,,,,delete
Sugar pill,,,,,,,,,,,,delete
Standard of care,,,,,,,,,,,,delete
Normal saline,,,,,,,,,,,,delete
Saline,,,,,,,,,,,,delete
Routine care,,,,,,,,,,,,delete
Study drug,,,,,,,,,,,,delete
Placebo,,,,,,,,,,,,delete
Placebo Comparator,,,,,,,,,,,,delete
Placebo Oral Tablet,,,,,,,,,,,,delete
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,stem
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,stem
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
