Table 10. All Intervention Matches in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,jlc,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
Lumbar punction,NCT04844060,,"MSA, PD, FTDLD, DLB, AD",10000,1 year,CSF collection; Setting up in new study/collaboration; To compare the levels of CSF Alzheimer's biomarkers between these different populations and determine their ability to discriminate between AD and other neurodegenerative cognitive pathologies,,2021,2021; Recruiting,,,biom,delete
"Innovations in Dementia Empowerment and Action (IDEA), Reducing Disabilities in Alzheimer's Disease (RDAD)",NCT03550131,N/A,"PD, MCI, AD",300,"Baseline, 6 w, 13 w, 30 w, 13 m",Change in Health-Related Quality of Life (HRQOL) of Care Recipient; Change in Health-Related Quality of Life (HRQOL) of Caregiver; Change in Quality of Life (QOL-AD) of Care Recipient; Change in Health-Related Quality of Life (QOL-AD) of Caregiver; Change in Physical Activity of Caregiver; Change in Physical Functioning of Care Recipient; Change in Physical Functioning of Caregiver; Change in Perceived Stress (PSS) of Caregiver; Change in Physical Activity of Care Recipient; Change in Rate of Care-Recipient Behavioral Disturbances,,2018,2021; Recruiting,,,behav,
Probiotic supplemented intervention,NCT03991195,N/A,"AD, MCI",90,Three m,Improvement of Montreal cognitive assessment (MoCA); Improvement of Auditory Verbal Learning Test (AVLT); Changes of intestinal microbial flora diversity; Structural MRI-based brain network changes; Functional MRI-based brain network changes; FNIRS-based brain network changes,,2019,2021; Recruiting,,,suppl,
Strategy Training (Time- and Event- Based),NCT04474379,N/A,"MCI, PD",200,"Administered at baseline, pre-treatment session; One week post-treatment (approximately five w after the baseline test); and 12-m post-strategy training sessions.","Change in Virtual Week Computer-based Memory Test performance after 5-weeks and 12-month post-intervention.; Change in The Prospective and Retrospective Memory Questionnaire scores after 5-weeks, 3-months, 6-months, and 12-month post-intervention.; Change in Bangor Goal Setting Interview goal attainment after 5-weeks and 12-month post-intervention.",,2020,2021; Not yet recruiting,,,behav,
Juice Plus+,NCT04656860,N/A,"MCI, AD",150,"Baseline, 6-m, 12-m, 18-m, and 24-m",Change in Interleukin -5; Change in serum Amyloid A; Change in Interleukin 6; Change in C-reactive protein; Auditory Very Learning Test; Stroop Test; Trial Making task,,2020,2021; Recruiting,,,suppl,
Problem Solving Training,NCT04748666,N/A,"FTDLD, AD, MCI",232,"Baseline, 6 m",The Mean Change in Patient Health Questionnaire (PHQ-8) Score; The Mean Change in Zarit Burden Interview Score; The Mean Change in Family Caregivers Scale/Caregiver experience Score; The Mean Change in Client Satisfaction Questionnaire (CSQ-8) Score; Upstream Social Isolation Risk Screener (U-SIRS13),,2021,2021; Not yet recruiting,,,behav,
"18F-Dopa, 11C-methylreboxetine, 13N-Ammonia, 18F-Dopamne, Desipramine (DMI)",NCT03648905,P1,"MSA, PD",140,Initial Visit,Pathophysiological classification based on clinical laboratory test results; Estimated non-specific binding of 11C-methylreboxetine,,2018,2021; Recruiting,,,biom,
Nicotinamide riboside,NCT04430517,Early P1,"AD, MCI",50,"Baseline, 6 and 12 w, pre- and post- 1000 mg NR daily",Changes in brain NAD+; Changes in brain redox state; Changes in mitochondrial function; Changes in antioxidant glutathione (GSH) levels; Changes in cognitive status; Changes in functional status,,2020,2021; Recruiting,,,drug,
Virtual Individual Cognitive Simulation Therapy,NCT04828434,N/A,"FTDLD, AD, DLB",34,Evaluated by an independent researcher through video recordings; up to 48 m.,Retention rate (feasibility of viCST); Recruitment (feasibility of viCST); Attendance and retention rate (acceptability of viCST); Negative of adverse events (acceptability of viCST); Fidelity (acceptability of viCST); Change in cognitive function; Change in quality of life; Change in mood; Change in communication; Change in engagement,,2021,2021; Not yet recruiting,,,behav,
"Videofluoroscopic Swallowing Examination, Tongue Strength Measurement",NCT03192358,,"PD, ALS",37,Baseline (single timepoint) only,Penetration-Aspiration Scale (Swallow Safety); Normalized Residue Ratio Scale (Swallow Efficiency); Number of Swallows per Bolus (Swallow Efficiency); Pharyngeal Transit Duration (Bolus Flow); Time to Laryngeal Vestibule Closure (Swallow Kinematics); Hyoid Bone Range of Movement (Swallow Kinematics); Hyoid Speed/Velocity (Swallow Kinematics); Change in Anterior Maximum Tongue Pressure (IOPI); Change in Posterior Maximum Tongue Pressure (IOPI); Change in Saliva Swallow Tongue Pressure (IOPI),,2017,2021; Completed,,,delete,
