Table 1.  Disease-modifying drugs in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
Nuedexta,NCT03854019,P3,HD,22,Week 13.,"Behavioral symptoms, as assessed by the Hospital Anxiety and Depression Scale (HADS).; Irritability as assessed by The Irritability Scale.; Irritability as assessed by The Irritability Scale; Cognitive symptoms, as assessed by the Unified Huntington's Disease Rating Scale (UHDRS) - cognitive domain.; Behavioral symptoms, as assessed by the Neuropsychiatric Inventory-Questionnaire (NPI-Q) - severity score.; Behavioral symptoms, as assessed by the Neuropsychiatric Inventory-Questionnaire (NPI-Q) - caregiver distress.; Behavioral symptoms, as assessed by the Problem Behaviors Assessment - short version (PBA-s).; Motor symptoms, as assessed by the total motor score (TMS) from the UHDRS.; Motor symptoms, as assessed by the total maximal chorea (TMC).; Functional independence, as assessed by the UHDRS Total Functional Capacity Scale (TFC).; Behavioral suicidal events, as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS) - Suicidal ideation.; Behavioral suicidal events, as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS) - Suicidal ideation; Behavioral suicidal events, as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS) - Suicidal Ideation.; Behavioral suicidal events, as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS) - Suicidal Behavior.; Behavioral suicidal events, as assessed by the Columbia-Suicide Severity Rating Scale (C-SSRS).; Cognitive symptoms, as assessed by the The Montreal Cognitive Assessment (MoCA).; Patient progress and treatment response over time, as assessed by the Clinical Global Impressions Scale (CGI).",,2019,2021; Recruiting,,,
,NCT03883581,P1/P2,ALS,40,Baseline; Day 30,Change in Dynamic Imaging Grade of Swallowing Toxicity; Change in Airway Physiologic Defense Capacity; Change in Speech Intelligibility; Change in Patient-reported outcome: Center for Neurologic Study-Bulbar Function Scale (CNS-BFS),,2019,2021; Recruiting,,,
,NCT01806857,P2,ALS,90,Average between Baseline Visit to Visit 3,Ashworth Spasticity Scale Score - Left Leg; Ashworth Spasticity Scale Score - Right Leg; Ashworth Spasticity Scale Score - Left Arm; Average Solids Swallowing Test; Visual Analog Scale - Salivation (Sialorrhea) Score; Visual Analog Scale - Swallowing Score; Average Water Swallowing Test (WST); Timed Reading of Test Paragraph Result; Ashworth Spasticity Scale Score - Right Arm; Visual Analog Scale - Speech Scores; ALS Functional Rating Scale- Revised (ALSFRS-R) Total Score; Center for Neurologic Study - Lability Scale (CNS-LS) Total Score; Bulbar Function Scale (CNS-BFS) Swallowing Score; Bulbar Function Scale (CNS-BFS) Speech Score; Bulbar Function Scale (CNS-BFS) Sialorrhea Score; Bulbar Function Scale (CNS-BFS) Total Score,,2013,2017; Completed,,,
ATH-1017,NCT04491006,P2,AD,75,"Weeks 2, 6, 12, 20, and 26",Event-Related Potential; Cognition,,2020,2021; Recruiting,,,
,NCT04488419,P2,AD,300,Week 26,Overall treatment effect of ATH-1017 as reflected by the Global Statistical Test; Cognition; Clinical Global Impression of Change; Activities of Daily Living,,2020,2021; Recruiting,,,
,NCT04831281,P2,PD,75,Week 12 and 26,Overall treatment effect of ATH-1017 as reflected by the Global Statistical Test; Event-Related Potential; Cognition; Clinical Global Impression of Change; Activities of Daily Living,,2021,2021; Not yet recruiting,,,
Pridopidine,NCT04297683,P2/P3,ALS,640,24 Weeks,Disease Progression; Respiratory Function; Muscle Strength; Survival,,2020,2021; Recruiting,,,
,NCT04556656,P3,HD,480,"Baseline, 65 w",Change from baseline in the Unified Huntington Disease Rating Scale-Total functional capacity (UHDRS-TFC) score,,2020,2021; Recruiting,,,
,NCT04615923,P2/P3,ALS,160,24 Weeks,Disease Progression; Bulbar Function in Participants with Bulbar Dysfunction; Bulbar Function in all Randomized Participants; Speech; Respiratory Function; Bulbar Function in Participants with Rapid pre-baseline Progression; Time to Bulbar Dysfunction; Muscle Strength; Survival,,2020,2020; Enrolling by invitation,,,
,NCT03922711,P2,PD,23,Baseline and Week 16,Change in levodopa-induced dyskinesia,,2019,2020; Terminated,,,
