Table 2.  Disease-modifying drugs in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
Nicotinamide riboside,NCT04430517,Early P1,"AD, MCI",50,"Baseline, 6 and 12 w, pre- and post- 1000 mg NR daily",Changes in brain NAD+; Changes in brain redox state; Changes in mitochondrial function; Changes in antioxidant glutathione (GSH) levels; Changes in cognitive status; Changes in functional status,,2020,2021; Recruiting,,,
Dasatinib + Quercetin,NCT04685590,P2,"MCI, AD",48,Baseline to Week 48,Serious Adverse Events (SAEs) and Adverse Events (AEs) in treatment group as compared to placebo group; Change in cellular senescence blood marker Senescence-Associated Secretory Phenotype (SASP) composite score; Change in cellular senescence blood marker Cluster of Differentiation 3 (CD3) in blood; Change in cellular senescence blood marker cyclin-dependent kinase inhibitor 2A (p16INK4A+) in blood; Change in cellular senescence blood marker T cells in blood; Change in Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) slope; Change in the 14 - item Alzheimer's Disease Assessment Scale - Cognitive subscale (ADAS-Cog 14) slope; Change in Positron Emission Tomography (PET) - Computed Tomography (CT) - brain tau pathology,,2020,2021; Not yet recruiting,,,
Nicotinamide,NCT03061474,P2,"MCI, AD",48,12 Months,Change in p-tau 231; Change in p-tau 181; Change in total tau,,2017,2021; Recruiting,,,
Donepezil,NCT04730635,P1,"AD, MCI",36,Up to approximately Week 8,Percentage Change From Baseline in Correct Responses on the One Card Learning (OCL) Task to Week 8; Percentage Change From Baseline in the Overall Standard Deviation (sd) in Average OCL Task (Arcsine Square Root Transformed) to Week 8; Percentage of Correct Responses on the OCL Task,,2021,2021; Recruiting,,,
Psilocybin,NCT04123314,Early P1,"MCI, AD",20,Baseline and 2 w after second psilocybin session,Change in Cornell Scale for Depression in Dementia (CSDD) score; Change in Quality of Life Alzheimer's Disease (QOL-AD) scale score,,2019,2021; Recruiting,,,
Posiphen,NCT04524351,P1/P2,"PD, AD",68,Baseline to 25±2 d,Incidence of Treatment-Emergent Adverse Events; Concentration of Posiphen in Plasma; Changes in Functional Impairment; Changes in Cognition,,2020,2021; Recruiting,,,
AZD0328,NCT04810104,P2,"MCI, PD",160,From baseline to week 12 (end of treatment period),"Change in Attentional Intensity Index composite factor score from baseline to week 12; Change in Attentional Intensity Index composite factor score from baseline to week 6; Change in Sustained Attention Index composite factor score from baseline to week 6 and week 12; Change in Working Memory Index composite factor score from baseline to week 6 and week 12; Screening/Baseline whole-brain and regionally specific brain volumes as predictors of treatment response; Screening/Baseline whole-brain perfusion as well as perfusion in ROIs as predictors of treatment response; Change in Episodic Memory Index composite factor score from baseline to week 6 and week 12; Change in Memory Speed Retrieval Index composite factor score from baseline to week 6 and week 12; Change in MoCA score from screening to week 12; Change in Sustained Attention Index composite factor score from week 12 to week 16; Change in Working Memory Index composite factor score from week 12 to week 16; Change in Episodic Memory Index composite factor score from week 12 to week 16; Change in Memory Speed Retrieval Index composite factor score from week 12 to week 16; Change in MDS-UPDRS Part III motor examination subscale score from baseline to week 12; Change in total score from the Non-Motor Symptom Scale from baseline to week 12; Change in total score from the 39-item Parkinson's Disease Questionnaire from baseline to week 12; Change in MCI-CGIC from baseline to week 12; Change in depression and anxiety subscale scores from the HADS from baseline to week 12; Incidence, nature and severity of AEs and SAEs during treatment period; Incidence of dosage reduction or treatment discontinuation during treatment period; Incidence of clinically significant changes or abnormal electrocardiogram (ECG) assessments, vital sign measurements and clinical laboratory values during treatment period; Changes in whole-brain and regionally specific brain volumes from baseline/screening to week 12; Changes in whole-brain perfusion as well as perfusion in regions of interests (ROIs) from baseline/screening to week 12; Changes in functional resting-state connectivity of the large-scale cognitive brain networks from baseline/screening to week 12; Screening/Baseline functional resting-state connectivity of the large-scale cognitive brain networks as predictors of treatment response; Placebo-controlled change in levels of exploratory blood-based biomarkers for neuroprotection and/or disease modification changes; Change in levels of study medication in blood from baseline to week 12",,2021,2021; Not yet recruiting,,,
Senicapoc,NCT04804241,P2,"AD, MCI",55,"Baseline, Week 26, Week 52","Change from Baseline in Trails B score; Change from Baseline in the Alzheimer's Disease Assessment Scale, Cognitive Subscale (ADAS-Cog 13) score; Change from Baseline to Week 52 in levels of Cerebrospinal fluid (CSF) biomarkers: IL-1β, IL-6, TNF-α, MCP-1, and IL-10; Change from Baseline to Week 52 in levels of serum biomarkers: IL-6, TNF-α, MCP-1, and IL-10 and high sensitivity C-Reactive protein; Change from Screening in the Clinical Dementia Rating (CDR) sum of boxes score; Change from Baseline in the Everyday Cognition (ECog) score; Change from Screening in Montreal Cognitive Assessment (MoCA) score; Change from Baseline to Week 52 in Spanish English Neuropsychological Assessment Scales (SENAS) memory score; Change from Baseline to Week 52 in Spanish English Neuropsychological Assessment Scales (SENAS) executive composite score; Change from Baseline in Bushcke Cued Selective Reminding Task (CSRT) score; Change from Baseline in Verbal fluency (semantic) score; Change from Baseline in Verbal fluency (letter) score; Change from Baseline to Week 52 in Brain MRI measures of total grey matter.; Change from Baseline to Week 52 in Brain MRI measures of total brain volume.; Change from Baseline to Week 52 in Brain MRI measures of white matter hyperintensities.; Change from Baseline to Week 52 in total grey matter florbetaben binding on amyloid Positron Emission Tomography (PET); Change from Baseline in Cognitive Event Related Potential (ERP) measures of P600 word repetition.; Change from Baseline in Cognitive Event Related Potential (ERP) measures of alpha suppression effect.; Change from Baseline in Cognitive Event Related Potential (ERP) measures of anti-coupling between early theta and late alpha/beta activity.",,2021,2021; Not yet recruiting,,,
AltoidaML,NCT04701177,,"MCI, AD",500000,60 m of follow up,Change in Diagnostic Area Under the Receiver Operating Characteristic Curve (ROC-AUC),,2021,2021; Not yet recruiting,,,
Canakinumab,NCT04795466,P2,"AD, MCI",90,Baseline through to 24 w,Change from baseline in cognition as measured by the Neuropsychological Test Battery (NTB) total score; Number of participants who experience adverse events and serious adverse events; Change from baseline in microglia activation as measured by Positron-Emission Tomography-Translocator Protein 18kDa - microglia activation; Change from baseline in neuropsychiatric symptoms as measured by the Neuropsychiatric Inventory (NPI) total score; Change from baseline in function (activities of daily living) as measured by the Everyday Cognition (eCog) total score; Change from baseline in memory as measured by the total Neuropsychological Test Battery memory composite score and change from baseline in executive function as measured by the total Neuropsychological Test Battery executive function composite score; Change from baseline in pharmacokinetic concentrations and immunogenetic anti-agent antibody levels in serum and/or plasma and/or cerebrospinal fluid,,2021,2021; Not yet recruiting,,,
