Table 3.  Biomarkers in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
Florbetaben,NCT02362880,N/A,AD,32,baseline,"Individual cortical areas with positive amyloid deposition at visual or semi-quantitative assessment; Proportion of FAD mutation carriers that present positive uptake after FBB-PET through visual examination; Proportion of FAD mutation carriers presenting standardized uptake value ratios (SUVRs) of FBB-PET higher than 1,4.; Incidence of Adverse events of a single dose of FBB followed by PET scan in individuals at risk of genetic Alzheimer?s disease.; Areas of significant difference (p<0,05) in regional SUVR between FAD mutation carriers and non-carriers.; Earliest age of positive FBB-PET in FAD mutation carriers.",,2015,2021; Terminated,,,
,NCT01222351,N/A,AD,161,Amyloid plaque load in the brain will be measured at baseline and again 3 years later,Changes in amyloid plaque load in the brain of the course of 3 years,,2010,"2021; Active, not recruiting",,,
,NCT03507257,,"MCI, AD",700,"CN participants: Month 0, Month 12 and Month 24; EOAD/EOnonAD participants: Month 0, Month 12, Month 24, Month 36 and Month 48",Rate of change in cognition as measured by the Alzheimer's Disease Assessment Scale-Cognitive (ADAS-Cog13); Rate of change in cognition as measured by the Clinical Dementia Rating - Sum of Boxes (CDR-SB); Change in tau deposition as measured by flortaucipir (18F-AV-1451) Positron Emission Tomography (PET) imaging; Change in amyloid deposition as measured by florbetaben using Positron Emission Tomography (PET) imaging; Neurodegeneration as measured by fluorodeoxyglucose (FDG) Positron Emission Tomography (PET) imaging compared to magnetic resonance imaging (MRI); Change in brain structure using magnetic resonance imaging (MRI); Change in cerebrospinal fluid (CSF) biomarkers; Change in plasma biomarkers,,2018,2020; Recruiting,,,
,NCT04510168,,AD,300,Up to 1 month,Standardized Uptake Values (SUVRs) of Florbetaben; Standardized Uptake Values (SUVRs) of 18F-MK- 6240; Association Between Non-Atherosclerotic Brain Arterial Aging (BAA) and Prevalent Alzheimer's' Disease,,2020,2020; Recruiting,,,
,NCT03744312,P1/P2,AD,50,Up to one year from baseline,11C-ER176 total distribution volume; 11C-ER176 Standardized Uptake Value Ratio,,2018,2020; Recruiting,,,
,NCT01297114,,AD,294,cross sectional,Cognition as measured with cognitive evaluations,,2011,2017; Completed,,,
C-11 PiB,NCT04768101,Early P1,PD,140,"baseline, under anesthesia",Diffusion Tensor Imaging Along Perivascular Spaces (DTI-ALPS),,2021,2021; Recruiting,,,
,NCT02740634,N/A,AD,60,"baseline, 1 year",Amount of Amyloid protein in the brain of patients with Logopenic Aphasia (LPA) or Posterior Cortical Atrophy (PCA).; Amount of Tau protein in the brain of patients with Logopenic Aphasia (LPA) or Posterior Cortical Atrophy (PCA).; Rates of change in amyloid-PET burden over time.; Rates of change in tau-PET burden over time.,,2016,2021; Recruiting,,,
,NCT04680130,,"CBD, FTDLD, PSP",500,1 year,Imaging analysis,,2020,2020; Recruiting,,,
,NCT01723553,P1,AD,27,"Study entry, approximately day 1 or day 2 of study",Proportion of subjects with and without microbleeds; Percentage of white matter hyperintensity burden on MRI and ratio of amyloid burden on PiB PET scan; Number of microbleeds per subject,,2012,2015; Completed,,,
,NCT01609335,P1,AD,41,2 d,"Normal values for amyloid PET, FDG and Magnetic Resonance Imaging",,2012,2014; Completed,,,
[18F]NAV4694,NCT04165109,,AD,120,"Baseline and every 16 m through end of study or enrollment into a clinical trial, up to 5 years",Enrollment of 120 participants into the Trial-Ready Cohort in DS (TRC-DS).; Change in cognition as measured by the Cued Recall Test; Change in behavior as measured by the Neuropsychiatric Inventory (NPI); Change in cognition as measured by the Down Syndrome Mental Status Exam (DSMSE); Change in behavior as measured by the Vineland 3 (Informant Version); Change in cognition as measured by the National Task Group Early Detection Screen for Dementia (NTG-EDSD); Change in cognition as measured by the Stroop Dog and Cat Task; Change in amyloid deposition as measured by SUVR on Positron Imaging Tomography (PET) scan; Change in brain volume as measured by magnetic resonance imaging (MRI); Change in plasma Amyloid Beta (Abeta) biomarkers; Change in plasma tau biomarkers,,2019,2021; Not yet recruiting,,,
,NCT01812213,P2,MCI,120,3 Years,Incidence of Mild Cognitive Impairment Progression to Alzheimer's Disease; Incidence of [18F]NAV4694 PET Positive scans at 18 months compared to baseline; Change in Neuro-cognitive Test Battery Scores at 6 months compared to baseline; Change in Neuro-cognitive Test Battery Scores at 12 months compared to baseline; Change in Neuro-cognitive Test Battery Scores at 18 months compared to baseline; Change in Neuro-cognitive Test Battery Scores at 24 months compared to baseline; Change in Neuro-cognitive Test Battery Scores at 30 months compared to baseline; Change in Neuro-cognitive Test Battery Scores at 36 months compared to baseline; Change in SUVR scores at 18 months compared to baseline; Incidence of Adverse Events post baseline,,2013,2017; Unknown status,,,
,NCT01886820,P3,AD,290,6 m,Incidence of [18F]NAV4694 Brain PET scan positivity compared to histopathology; Quantification of [18F]NAV4694 brain PET Scan positivity compared to histopathology; Incidence of [18F]NAV4694 PET Scan positivity in 6 pre-specified brain regions compared to histopathology; Quantification of [18F]NAV4694 PET Scan positivity in 6 pre-specified brain regions compared to histopathology; Incidence of adverse events,,2013,2017; Unknown status,,,
,NCT01680588,P2,AD,70,7 d,[18F]NAV4694 PET visual assessment by centralized readers; Assess the incidence of adverse events after a single dose of [18F]NAV4694; Evaluate [18F]NAV4694 PET quantitative assessment; Determine correlation of neuro-psychiatric tests with [18F]NAV4694 imaging; Assess changes in laboratory values after a single dose of [18F]NAV4694,,2012,2016; Unknown status,,,
PET Scan,NCT03675282,P1/P2,PD,100,Baseline and 24 Months,Change in Sensitivity of QSM MR imaging from baseline MR imaging to 24 month MR imaging; Assess clinical changes in disease arm,,2018,2021; Recruiting,,,
,NCT02516046,P3,AD,156,at autopsy within 9 m of baseline scan,Diagnostic Performance of Individual Readers (NFT Score B2-B3 as Truth Positive); Inter-Reader Agreement; Flortaucipir Diagnostic Performance (NIA-AA Autopsy Diagnosis); Flortaucipir Diagnostic Performance (NFT Score); Primary Outcome 2: Diagnostic Performance of Individual Readers (NIA-AA Autopsy Diagnosis); Primary Outcome 1: Diagnostic Performance of Individual Readers (NFT Score),,2015,2020; Completed,,,
,NCT02795780,P2,AD,79,18 m,Change in Tau Deposition Over Time by Diagnostic Group and Amyloid Status,,2016,2020; Completed,,,
,NCT03371420,Early P1,AD,5,30 d,Pharmacokinetic profile of 124I-PU-AD: area under the curve (AUC); Pharmacokinetic profile of 124I-PU-AD: maximum plasma concentration (Cmax); Pharmacokinetic profile of 124I-PU-AD: trough plasma concentration (Cmin); Pharmacokinetic profile of 124I-PU-AD: plasma half-life (T1/2); Pharmacokinetic profile of 124I-PU-AD: time to maximum plasma concentration (Tmax); Incidence of adverse events,,2017,2019; Completed,,,
,NCT03204604,N/A,AD,0,2 w,Primary Outcome - Brain Ketone Utilization; Secondary Outcome - Memory Composite Score,,2017,2019; Withdrawn,,,
,NCT02420756,,"AD, MCI",18488,12 m,To assess the impact of amyloid PET on the management of patients meeting Appropriate Use Criteria (AUC); To assess the impact of amyloid PET on hospital admissions and emergency room visits in patients enrolled in the cohort (amyloid PET-known) compared to matched patients not in the cohort (amyloid PET-naïve) over 12 months,,2015,2017; Completed,,,
F-18 AV 1451,NCT02740634,N/A,AD,60,"baseline, 1 year",Amount of Amyloid protein in the brain of patients with Logopenic Aphasia (LPA) or Posterior Cortical Atrophy (PCA).; Amount of Tau protein in the brain of patients with Logopenic Aphasia (LPA) or Posterior Cortical Atrophy (PCA).; Rates of change in amyloid-PET burden over time.; Rates of change in tau-PET burden over time.,,2016,2021; Recruiting,,,
,NCT02605785,N/A,PSP,134,"baseline, 1 year",The investigators will be looking at the amount of Tau protein in the brain of patients with PSP.; Rates of change in tau-PET burden over time.,,2015,2020; Recruiting,,,
Blarcamesine,NCT04314934,P2/P3,AD,450,96 w,Number of participants with treatment-related adverse events as assessed by CTCAE v4.03; ADAS-Cog (Alzheimer Disease Assessment Scale-Cognition); ADCS-ADL (Activities of Daily Living),,2020,2021; Recruiting,,,drug
,NCT04575259,P2,PD,120,48 w,Number of participants with treatment-related adverse events as assessed by CTCAE v4.03; RSBDQ (REM Sleep Behavior Disorder Screening Questionnaire); MDS-UPDRS Part III Total Score (Motor Scores); MoCA (Montreal Cognitive Assessment); Microbiota,,2020,2020; Recruiting,,,
[18F]PI-2620,NCT04251130,,MCI,150,18-24 m,Correlation between PI-2620 SUVR and MTL subregion thickness; Interaction between PI-2620 SUVR and amyloid status prediction of MTL subregion thickness; Correlation between longitudinal PI-2620 SUVR and MTL subregion thickness; Interaction between longitudinal PI-2620 SUVR and amyloid status for prediction of MTL subregion thickness,,2020,2021; Recruiting,,,
,NCT04566003,P1,AD,30,Approximately 1 hour after injection of [18F]PI-2620,Brain tau burden as measured by [18F]PI-2620 - PET; Percentage of Participants with Adverse Events (AEs); Brain tau burden as measured by [18F]GTP1 - PET,,2020,2021; Recruiting,,,
,NCT03510572,Early P1,"AD, PD, FTDLD",20,60-90 minutes post injection,Cross-sectional [18F]PI-2620 Imaging Results; .Assess the rate of change of tau deposition as measured by [18F]PI-2620 uptake (SUVR) over time; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and neuropsychiatric test scores; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and indices of structural MRI,,2018,2020; Completed,,,
,NCT03903211,P2,"AD, MCI",72,0-90 minutes post injection,Cross-sectional PI-2620 uptake measured by standard uptake value ratio (SUVR); Changes of PI-2620 uptake over time measured by standard uptake value ratios (SUVR); Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and neuropsychiatric test scores; Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and indices of structural MRI,,2019,2020; Recruiting,,,
18F-MK-6240,NCT04576793,P2,AD,100,Up to 24 m,11C-ER176 Standardized Uptake Value Ratio; 18F-MK6240 Standardized Uptake Value Ratio,,2020,2021; Recruiting,,,
,NCT04784416,P2,"MCI, AD",125,"Baseline, up to Week 8",Change in Repeatable Battery for the Assessment of Neuropsychological Status Update (RBANS) Total Scale Index Score.; Addenbrooke's Cognitive Examination (ACE-III) Score; Letter Comparison Test Score; Pattern Comparison Test Score; Stroop Color and Word Test (SCWT); Difference in Score Between Trail Making Test-A (TMT-A) and Trail Making Test-B (TMT-B); TMT-B T-Score; Face-Name Associative Memory Exam (FNAME-12) Score; Letter Number Sequencing Score; Change in Systemic Assessment for Treatment Emergent Events - Specific Inquiry (SAFTEE-SI) Score,,2021,2021; Not yet recruiting,,,
,NCT03372317,,MCI,65,Up to 5 years,Functional imaging (fMRI); Total number of individuals with tau present; Cognition,,2017,2021; Recruiting,,,
,NCT03706261,P1,AD,150,Up to 5 years,Regional SUVR value for 18F-MK-6240; Amyloid Positivity (Aβ+) for 18F-Florbetaben,,2018,2020; Enrolling by invitation,,,
,NCT03757910,Early P1,AD,20,Up to 1 hour post-injection,White Matter Hyper Intensity Volume; Brain Amyloid SUVR; Brain Tau SUVR; Hippocampal Cortical Thickness,,2018,2020; Enrolling by invitation,,,
