Table 4.  Biomarkers in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
"18F-Dopa, 11C-methylreboxetine, 13N-Ammonia, 18F-Dopamne, Desipramine (DMI)",NCT03648905,P1,"MSA, PD",140,Initial Visit,Pathophysiological classification based on clinical laboratory test results; Estimated non-specific binding of 11C-methylreboxetine,,2018,2021; Recruiting,,,
Biomarker assay,NCT04020198,,"MSA, PD",24,3 w,"Compare levels of misfolded alpha-synuclein aggregates in participants with PD, MSA, RBD, NPH and controls; Investigate the relationship between levels of misfolded alpha-synuclein aggregates and disease severity in PD and MSA; Investigate the relationship between levels of misfolded alpha-synuclein aggregates across different biofluid reservoirs, including CSF, serum, plasma, saliva, and urine",,2019,2021; Recruiting,,,
"Active tPBM-2.0, Sham tPBM-2.0, 18F-MK-6240",NCT04784416,P2,"MCI, AD",125,"Baseline, up to Week 8",Change in Repeatable Battery for the Assessment of Neuropsychological Status Update (RBANS) Total Scale Index Score.; Addenbrooke's Cognitive Examination (ACE-III) Score; Letter Comparison Test Score; Pattern Comparison Test Score; Stroop Color and Word Test (SCWT); Difference in Score Between Trail Making Test-A (TMT-A) and Trail Making Test-B (TMT-B); TMT-B T-Score; Face-Name Associative Memory Exam (FNAME-12) Score; Letter Number Sequencing Score; Change in Systemic Assessment for Treatment Emergent Events - Specific Inquiry (SAFTEE-SI) Score,,2021,2021; Not yet recruiting,,,device
PET Biomarker Disclosure,NCT04818255,N/A,"AD, MCI",100,"Change from immediately following disclosure, 1-week following disclosure, and 6-w following disclosure.",Participant Comprehension/Recall of Results Percent Correct Score: Immediately Following Disclosure; Interest in PET Biomarker Disclosure; Percent of individuals demonstrating disclosure decision-making capacity; Change in Positive and Negative Affect Scale - Short Form (PANAS-SF) Positive Subscale Score; Change in Positive and Negative Affect Scale - Short Form (PANAS-SF) Negative Subscale Score; Change in Impact of Neuroimaging in Alzheimer's Disease (INI-AD) Distress Score; Change in Impact of Neuroimaging in Alzheimer's Disease (INI-AD) Positive Emotions Score; Change in Stigma Scale for Chronic Illness (SSCI-8) Total Score; Change in Self-Efficacy for Managing Chronic Disease Scale (SECD) Total Score; Change in Future Time Perspectives Scale (FTP) Average Score; Change in Participant Comprehension/Recall of Results Percent Correct Score,,2021,2021; Enrolling by invitation,,,
Biological sample collection,NCT04270604,,"PD, ALS, HD, AD",10000,Baseline,"Establishment of a diverse bank of biological samples, stem cell lines, derivatives, and associated information.",,2020,2021; Recruiting,,,delete
[18F]flutemetamol PET scan,NCT03466736,,"MCI, AD",210,baseline and one week,short-term practice effects,,2018,2021; Recruiting,,,
"[18F]FDOPA, Carbidopa 200mg oral dose, Entacapone 400mg oral dose",NCT04246437,P1,"DLB, MSA, PD",40,95 minutes post-PET after start of PET imaging,Differences in FDOPA uptake across patient populations,,2020,2021; Recruiting,,,
"Flutemetamol F18 Injection, [18F]-RO6958948, Elecsys (Roche) Abeta42, Ttau and Ptau, Lumipulse (Fujirebio) Abeta42, Ttau and Ptau",NCT03174938,N/A,"MCI, MSA, CBD, PSP, FTDLD, PD, AD",1505,Time zero equals the baseline visit. All subjects will subsequently attend follow-up visits every year for approximately 2-8 years after baseline.,Clinical diagnosis; Clinical Dementia Rating-Sum of Boxes (CDR-SB); Rate of cognitive decline as measured by MMSE.; Rate of cognitive decline as measured in ADL-function.; Rate of volume change of structural MRI measures and amyloid PET; Rates of change on cerebrospinal fluid AD biomarkers,,2017,2021; Recruiting,,,
DaTSCAN™ Ioflupane (123I) Injection,NCT04193527,P3,"PD, MSA, PSP",172,32 Days,• Assessment of DaTSCAN™ SPECT images by 3 independent blinded readers to compare specific striatal uptake with the clinical diagnosis.; • Central read (by semi-quantitative assessment by use of DaTQUANT™) of DaTSCANTM SPECT images to compare specific uptake with clinical diagnosis.; • Comparison and assessment of safety parameters and AEs reported by all study participants.,,2019,2021; Recruiting,,,
Biomarker Data Collection,NCT04733989,,"AD, MCI",1000,"Through study completion, an average of 1 year","Measurement of each participant's blood-based biomarker (Beta-Amyloid, Phospho-Tau, Neurofilament Light Chain) levels will be collected through blood sampling.; Measurement of each participant's amyloid levels in the brain will be collected through amyloid PET brain scan imaging.",,2021,2021; Not yet recruiting,,,delete
"Spectral-Domain Optical Coherence Tomography (SD-OCT), Magnetic Resonance Imaging (MRI), Positron Emission Tomography (PET), Comprehensive Ophthalmic Examination, Fundus Photography",NCT03699644,N/A,"FTDLD, AD",50,45 Minutes,Presence of Retinal Thinning; Presence of Amyloid Plaque; Presence of Brain Pathology; Presence of Brain Metabolism; Presence of Macular Vascular Anomalies,,2018,2021; Suspended,,,
[18F]-PI2620,NCT04715750,P1,"PSP, AD",10,From injection of [18F]PI-2620 until up to 6 d after injection,Comparability of visual assessment of PI-2620 tau PET images obtained after injection of high specific activity and low specific activity in AD and PSP patients.; Comparability of quantitative assessment of PI-2620 tau PET images obtained after injection of high specific activity and low specific activity in AD and PSP patients.; Number of adverse events,,2021,2021; Recruiting,,,
