Table 5.  devices in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
Transcranial Direct Current Stimulation (tDCS),NCT03846492,N/A,AD,90,Approximately 2 and 4 w after baseline,"Long Interval Cortical Inhibition (LICI), a TMS paradigm, will be used to assess the extent of cortical inhibition; Assess brain structure using Magnetic Resonance Imaging (MRI); Assess resting state connectivity using Functional Magnetic Resonance Imaging (fMRI); Assess GABA and glutamate levels using Magnetic Resonance Spectroscopy (MRS); Short Interval Cortical Inhibition (SICI), another TMS paradigm, will be used to assess the extent of cortical inhibition; The rate of successful completion of the 2 week tDCS treatment course; Effects of a 2 week course of tDCS on cortical/inhibition balance; Change in clinical symptoms of agitation as assessed by the Clinical Global Impression of Change (CGIC); Change in clinical symptoms of agitation as assessed by the Neuropsychiatric Inventory (NPI) agitation/aggression subscale score; Change in clinical symptoms of agitation as assessed by the Cohen Mansfield Agitation Inventory scores (CMAI)",,2019,2021; Recruiting,,,
,NCT02266004,N/A,PD,9,"baseline, 3 w",Change in the Freezing of Gait Questionnaire (FOG-Q); Change in the Auditory Consonant Trigrams Test (ACT); Change in the Montreal Cognitive Assessment (MOCA); Change in the Trail Making Test Time; Change in Backward Digit Span; Change in Glutamate/Gamma Aminobutyric Acid(GABA) Ratio; Change in Motor Threshold; Change in Timed Up-and-Go (TUG) Time; Change in Postural Sway; Change in Stride Length; Change in Motor Scores as Measured by Unified Parkinson's Disease Rating Scale (UPDRS); Change in Walking Speed,,2014,2020; Terminated,,,
,NCT03974087,N/A,MCI,40,Change from baseline immediately after completion of stimulation protocol and one month after completion of stimulation protocol,Visual-attention task accuracy; Psychological assessment - z-score computed from multiple psychological domains; Magnetic resonance imaging; Memory task in virtual reality performance - the accuracy; Memory task in virtual reality performance - The time to accomplish different difficulty levels; Memory task in virtual reality performance - The trajectories needed for completion of different difficulty levels; Visual working memory task accuracy,,2019,2020; Recruiting,,,
tDCS,NCT03074812,N/A,PD,80,1 month,Number of Participants Demonstrating improvements on Objective Rating Scales of Depression via structured interview; Apathy Scores as measure by a self-report scale (the Apathy Scale); Subjective Depression Severity rated via self-report on depression inventory; Subjective reactive to pleasure (i.e. improvement of anhedonia) as rated via self-report; Subjective improvement of Anxiety Symptoms via Rating Scale; Performance on abbreviated cognitive battery; Improvement of Parkinsonian Motor Symptoms,,2017,2021; Recruiting,,,
,NCT04811066,N/A,PD,45,"Four assessments: Baseline / pre-intervention, three-d post intervention, 1 week post intervention, and 4 w post intervention",Change from baseline: sequential finger tapping performance; Change from baseline: shape-counting error; Change from baseline: oxygenated haemoglobin response; Change from baseline: Movement Disorders Society Unified Parkinson's Disease Rating Scale Motor Section (Part 3); Change from baseline: upper limb motor task performance; Change from baseline: Purdue pegboard task performance,,2021,2021; Recruiting,,,
,NCT04787406,N/A,PD,33,"Two assessments: Baseline / pre-intervention, and immediately post-intervention",Change from baseline sequential finger tapping performance; Change from baseline oxygenated haemoglobin response; Change from baseline shape-counting error,,2021,2021; Completed,,,
,NCT04759092,N/A,AD,8,8 m,To investigate tolerability; To investigate effect of the treatment,,2021,2021; Recruiting,,,
,NCT04090385,N/A,PD,45,"Baseline, after 6 w, and after 10 w (follow-up)",Changes in motor function assessed by the Unified Parkinson's Disease Rating Scale - Part III (UPDRS - III); Changes in cognitive function assessed by the Montreal Cognitive Assessment (MoCA); Changes in attention and mental flexibility assessed by the Trail Making Test - A and B; Changes in executive functions and planning assessed by the London Tower Task; Changes in working memory assessed by the Digit Span Forward and Backward Test; Changes in balance assessed by the Mini-BESTest; Changes in gait speed assessed by 10 Meter Walk Test; Changes in quality of life for people with Parkinson's disease assessed by the Parkinson's Disease Questionnaire (PDQ-39),,2019,2021; Recruiting,,,
,NCT04099524,N/A,MCI,40,from baseline to 8-week after delivering 14-session intervention,Change of NPS-shared neural circuit; Change of informant-rated NPS,,2019,2021; Recruiting,,,
,NCT02596906,N/A,MCI,22,Two longitudinal measurements at baseline and 1-month,Regional Brain Blood Flow Change Immediately After 1 Month of Cognitive Training and tDCS Brain Stimulation; Change From Baseline in California Verbal Learning Task Score,,2015,2021; Completed,,,
,NCT03473522,P2/P3,PD,30,"8 w, 3 and 6 m after randomization",Change From balance; Change From Unified Parkinson´s Disease Rating Scale; Change From Parkinson Disease Quality of Life; Change in the perception scale of the overall effect; Maximal Isometric Voluntary Contraction; Tampa Scale for Kinesiophobia (TSK); Geriatric Depression Scale (GDS),,2018,2020; Recruiting,,,
,NCT04524338,N/A,AD,20,two years,General Cognition,,2020,2020; Not yet recruiting,,,
