Table 6.  devices in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
"MRI acquisition, behavioral evaluations",NCT02428816,N/A,"PD, MSA",94,1 year,The primary outcome measure to discriminate individual patients and patients with MPI and AMS through multimodal MRI isolating multiparametric spatial signature resulting from a combination of markers in multimodal imaging.; correlate MP and MSA disease severity with extracted multimodal MRI biomarkers in whole brain,,2015,2021; Completed,,,no
Transcranial direct current stimulation (tDCS) Soterix Medical Inc. tDCS unit,NCT02155946,N/A,"AD, MCI",100,post treatment (within ~ 96 hours) & 3 m,Functional MRI; Face-name memory test performance; Object Location Association memory test performance; fMRI; Objective memory test performance; Subjective memory test performance on the MMQ; Planned (tertiary) analyses of patient-specific characteristics that affect treatment outcome,,2014,"2021; Active, not recruiting",,,
"Receive tDCS+CR, Facilitate tDCS + CR",NCT02959502,N/A,"AD, MCI",40,Baseline to 8 w after baseline.,"Feasibility of training a facilitator (caregiver) to facilitate the administration of CR+tDCS to their ""patient"" partner as indicated by a positive response in the Perceived Competence Scale at 24 months from study baseline.; Assess change in Quality of Life Scale scores among patients between baseline and at the end of the 8-week course.; Measure the change in Quality of Life Scale scores among facilitators between baseline and at the end of the 8-week course.; Measure the change in cognition (as indicated by a change in the Sheehan Disability Scale) among patients between baseline and at the end of the 8-week course; Measure the change in cognition (as indicated by a change in the Sheehan Disability Scale) among facilitators between baseline and at the end of the 8-week course",,2016,2021; Recruiting,,,
"1 mA HD-tDCS, 2 mA HD-tDCS, 3 mA HD-tDCS, Sham",NCT03875326,N/A,"MCI, AD",240,"After each HD-tDCS Session, daily",Change in Lateral Temporal Cortex Connectivity; Self-Report of Contentment with Memory; Self-Report of Memory Mistakes; Self-Report of Memory Strategies Used; Change in Memory Functioning; Change in Overall Fluid Cognitive Abilities; Cumulative Working Memory Effects of HD-tDCS across daily sessions; Cumulative Memory Accuracy Effects of HD-tDCS across daily sessions; Cumulative Memory Reaction Time Effects of HD-tDCS across daily sessions; Tolerability of HD-tDCS; Effectiveness of Blinding of HD-tDCS; Change in Default Mode Network Connectivity; Change in Inhibition Ability; Change in Conceptualization Ability; Change in Picture Sequence Memory; Change in Working Memory Ability; Change in Processing Speed; Cumulative Working Memory Performance Effects of HD-tDCS across daily sessions; Change in Global Cognition; Change in Visuospatial Functioning; Change in Language Functioning; Change in Attention; Change in Cognitive Functioning; Cumulative Cognitive Change across Daily Consecutive Sessions,,2019,2020; Recruiting,,,
"MHSL- SleepBand, Sham",NCT04589182,N/A,"HD, MCI, PD",12,"before and after intervention (day 1 and 4, day 7 and 10)",Subjective sleep quality; Pilot study: feasibility of acoustic SWS enhancement; Vigilance; Sleep benefit on motor performance; Momentary sleepiness; Average sleepiness; Mood; Restorative effect of sleep; Slow wave enhancement; Auditory stimulation algorithm performance; Pilot study: changes in mood; Pilot study: changes in sleep quality; Pilot study: changes in sleepiness,,2020,2020; Recruiting,,,
"transcranial direct current stimulation, Sham (for transcranial direct current stimulation)",NCT03191916,N/A,"PD, MCI",40,8 minutes; pre-test during the second research visit and post-test on 8th visit 14 d after last tDCS session,Change in Reaction Time (RT) on contextual cueing computer task; Change in Error Rate on contextual cueing computer task; Multidimensional Fatigue Inventory (MFI); Center for Epidemiological Studies Depression Scale (CES-D); McGill Quality of Life (QOL) Scale; Neuropsychological battery (Stroop and Digit Span); Montreal Cognitive Assessment (MOCA),,2017,2020; Recruiting,,,
"Transcranial Alternating Current Stimulation (tACS), Sham Transcranial Alternating Current Stimulation",NCT03880240,P1/P2,"MCI, AD",55,up to 16 w,PET amyloid burden; PET tau deposition; Incidence of Treatment-Emergent Adverse Events; Change in Gamma activity; Alzheimer's Disease Assessment Scale -Cog Score; Follow-up Amyloid PET burden; Follow-up Cognitive Evaluation,,2019,2020; Recruiting,,,
"In-laboratory polysomnography, Home Sleep Apnea Test",NCT04335994,N/A,"MCI, AD, PD, DLB",304,6 m,Patient satisfaction for each strategy and treatment (as assessed by a Likert scale); Proportion of patients diagnosed with OSA and treated using CPAP; Cognitive Outcomes (as assessed by the Montreal Cognitive Assessment); Proportion of patients who complete sleep testing; Cognitive Outcomes (as assessed by the Psychomotor Vigilance Task); Sleep-related quality of life (as assessed by the Functional Outcomes of Sleep Questionnaire); Mood (as assessed by the Geriatric Depression Scale); Daytime Sleepiness (as assessed by the Epworth Sleepiness Scale); Health Related Quality of Life (as assessed by the EQ-5D-5L); Cost to deliver each management strategy and treatment,,2020,2020; Recruiting,,,no
"Active Transcranial Direct Current Stimulation (tDCS), Sham Transcranial Direct Current Stimulation (tDCS)",NCT04507815,N/A,"MCI, AD",50,Change between baseline and 3 week follow-up; 3 and 6 m following study baseline,Change in Brief Test of Adult Cognition by Telephone (BTACT),,2020,2020; Not yet recruiting,,,
"BCI-FIT multi-modal access, BCI-FIT adaptive signal modeling, BCI-FIT active querying, BCI-FIT language modeling",NCT04468919,N/A,"PD, ALS, MSA",60,12 data collection sessions over 12 w (1 session/week) to assess change,Typing Accuracy; Typing Speed; Information transfer rate; User experience,,2020,2020; Not yet recruiting,,,no
