Table 9.  All Intervention Matches in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
Florbetaben,NCT02362880,N/A,AD,32,baseline,"Individual cortical areas with positive amyloid deposition at visual or semi-quantitative assessment; Proportion of FAD mutation carriers that present positive uptake after FBB-PET through visual examination; Proportion of FAD mutation carriers presenting standardized uptake value ratios (SUVRs) of FBB-PET higher than 1,4.; Incidence of Adverse events of a single dose of FBB followed by PET scan in individuals at risk of genetic Alzheimer?s disease.; Areas of significant difference (p<0,05) in regional SUVR between FAD mutation carriers and non-carriers.; Earliest age of positive FBB-PET in FAD mutation carriers.",,2015,2021; Terminated,,,biom,
,NCT01222351,N/A,AD,161,Amyloid plaque load in the brain will be measured at baseline and again 3 years later,Changes in amyloid plaque load in the brain of the course of 3 years,,2010,"2021; Active, not recruiting",,,,
,NCT03507257,,"MCI, AD",700,"CN participants: Month 0, Month 12 and Month 24; EOAD/EOnonAD participants: Month 0, Month 12, Month 24, Month 36 and Month 48",Rate of change in cognition as measured by the Alzheimer's Disease Assessment Scale-Cognitive (ADAS-Cog13); Rate of change in cognition as measured by the Clinical Dementia Rating - Sum of Boxes (CDR-SB); Change in tau deposition as measured by flortaucipir (18F-AV-1451) Positron Emission Tomography (PET) imaging; Change in amyloid deposition as measured by florbetaben using Positron Emission Tomography (PET) imaging; Neurodegeneration as measured by fluorodeoxyglucose (FDG) Positron Emission Tomography (PET) imaging compared to magnetic resonance imaging (MRI); Change in brain structure using magnetic resonance imaging (MRI); Change in cerebrospinal fluid (CSF) biomarkers; Change in plasma biomarkers,,2018,2020; Recruiting,,,,
,NCT04510168,,AD,300,Up to 1 month,Standardized Uptake Values (SUVRs) of Florbetaben; Standardized Uptake Values (SUVRs) of 18F-MK- 6240; Association Between Non-Atherosclerotic Brain Arterial Aging (BAA) and Prevalent Alzheimer's' Disease,,2020,2020; Recruiting,,,,
,NCT03744312,P1/P2,AD,50,Up to one year from baseline,11C-ER176 total distribution volume; 11C-ER176 Standardized Uptake Value Ratio,,2018,2020; Recruiting,,,,
,NCT01297114,,AD,294,cross sectional,Cognition as measured with cognitive evaluations,,2011,2017; Completed,,,,
Lumbar Puncture,NCT04603326,,PD,140,1 year,Assay Evaluation,,2020,2021; Recruiting,,,delete,biom
,NCT04576793,P2,AD,100,Up to 24 m,11C-ER176 Standardized Uptake Value Ratio; 18F-MK6240 Standardized Uptake Value Ratio,,2020,2021; Recruiting,,,,
,NCT01727622,,"MCI, AD",102,2 years,Composite region of interest (ROI) measure of cerebral blood flow (CBF) measured by ASL MRI versus composite ROI measure of cerebral metabolism measured by FDG PET; Prediction of longitudinal change in hippocampal volume; Prediction of longitudinal change in clinical status (i.e. progression to Alzheimer's Disease),,2012,2020; Completed,,,,
,NCT03104725,P1,PD,6,Pre- and post-treatment,More than or less than 10% decrease in cerebrospinal fluid level of 5-S-cysteinyldopamine; Cerebrospinal fluid concentration of 5-S-cysteinyldopamine; Cerebrospinal fluid concentrations of neurchemicals,,2017,2020; Completed,,,,
